,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
Northwest Territories (15),"Possession, cannabis",489.79,579.78,774.96,712.48,588.25
Northwest Territories (15),"Possession, cocaine",141.9,77.92,75.22,58.81,66.9
Northwest Territories (15),"Total, possession, other Controlled Drugs and Substances Act drugs",48.06,34.37,50.14,22.62,9.23
Northwest Territories (15),"Heroin, possession",,,0,0,0
Northwest Territories (15),"Other Controlled Drugs and Substances Act, possession",48.06,29.79,34.19,20.36,6.92
Northwest Territories (15),"Methamphetamines (crystal meth), possession",0,2.29,2.28,2.26,0
Northwest Territories (15),"Methylenedioxyamphetamine (ecstasy), possession",0,2.29,13.68,0,2.31
Northwest Territories (15),"Total cannabis, trafficking, production or distribution",254.05,355.2,515.12,529.27,472.91
Northwest Territories (15),"Cannabis, trafficking",247.18,348.33,506.01,517.96,461.37
Northwest Territories (15),"Cannabis, importation and exportation",0,0,2.28,0,2.31
Northwest Territories (15),"Cannabis, production",6.87,6.87,6.84,11.31,9.23
Northwest Territories (15),"Total cocaine, trafficking, production or distribution",148.77,185.62,237.05,217.14,170.71
Northwest Territories (15),"Cocaine, trafficking",148.77,185.62,237.05,217.14,170.71
Northwest Territories (15),"Cocaine, importation and exportation",0,0,0,0,0
Northwest Territories (15),"Cocaine, production",,,0,0,0
Northwest Territories (15),"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",89.26,98.54,68.38,54.28,62.29
Northwest Territories (15),"Heroin, trafficking",0,0,0,0,4.61
Northwest Territories (15),"Other Controlled Drugs and Substances Act, trafficking",89.26,89.37,61.54,45.24,55.36
Northwest Territories (15),"Methamphetamines (crystal meth), trafficking",0,2.29,0,2.26,0
Northwest Territories (15),"Methylenedioxyamphetamine (ecstasy), trafficking",0,2.29,6.84,6.79,0
Northwest Territories (15),"Heroin, importation and exportation",,,0,0,0
Northwest Territories (15),"Other Controlled Drugs and Substances Act, importation and exportation",0,2.29,0,0,2.31
Northwest Territories (15),"Methamphetamines (crystal meth), importation and exportation",,,0,0,0
Northwest Territories (15),"Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
Northwest Territories (15),"Heroin, production",,,0,0,0
Northwest Territories (15),"Other Controlled Drugs and Substances Act, production",,,0,0,0
Northwest Territories (15),"Methamphetamines (crystal meth), production",0,0,0,0,0
Northwest Territories (15),"Methylenedioxyamphetamine (ecstasy), production",0,2.29,0,0,0
Northwest Territories (15),"Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
Northwest Territories (15),Youth Criminal Justice Act,517.26,396.45,376.09,355.11,237.61
Northwest Territories (15),Total other Federal Statutes,176.23,178.75,221.09,196.78,175.32
Northwest Territories (15),Bankruptcy Act,0,0,0,0,0
Northwest Territories (15),Income Tax Act,0,0,0,0,0
Northwest Territories (15),Canada Shipping Act,4.58,2.29,4.56,4.52,4.61
Northwest Territories (15),Canada Health Act,0,0,0,0,0
Northwest Territories (15),Customs Act,0,0,0,0,0
Northwest Territories (15),Competition Act,0,0,0,0,0
Northwest Territories (15),Excise Act,0,6.87,2.28,0,2.31
Northwest Territories (15),Total Immigration and Refugee Protection Act (46),0,4.58,9.12,4.52,0
Northwest Territories (15),Firearms Act,27.46,22.92,25.07,31.67,34.6
Northwest Territories (15),National Defense Act,0,0,0,0,0
Northwest Territories (15),Other federal statutes,144.19,142.08,180.07,156.07,133.8
Nunavut (15),"Total, all violations",37230.34,39853.38,41687.23,40201.48,41701.04
Nunavut (15),"Total, all Criminal Code violations (including traffic)",36262.42,38840.74,40453.34,38949.66,40398.26
Nunavut (15),"Total, all Criminal Code violations (excluding traffic)",35243.88,37710.06,39639.89,38249.23,39229.01
Nunavut (15),Total violent Criminal Code violations (16),9733.03,9365.39,10382.96,9791.06,10003.86
Nunavut (15),"Homicide (17,24)",12.65,18.64,18.28,20.86,14.84
Nunavut (15),Total other violations causing death,3.16,0,0,0,0
Nunavut (15),Attempted murder,22.14,24.85,15.23,0,0
Nunavut (15),"Sexual assault, level 3, aggravated",6.33,9.32,6.09,2.98,2.97
Nunavut (15),"Sexual assault, level 2, weapon or bodily harm",15.82,18.64,12.19,11.92,2.97
Nunavut (15),"Sexual assault, level 1",673.75,630.57,594.1,566.3,525.27
Nunavut (15),Total sexual violations against children (26),44.28,34.17,112.73,154.99,103.87
Nunavut (15),"Assault, level 3, aggravated",104.38,90.08,79.21,86.44,106.83
Nunavut (15),"Assault, level 2, weapon or bodily harm",1202,1136.89,1041.95,1028.29,1264.21
Nunavut (15),"Assault, level 1",5522.87,5156.4,5374.28,5281.51,5172.57
Nunavut (15),"Total assaults against a peace officer (25,35)",177.14,351.01,837.83,423.24,314.57
Nunavut (15),Total other assaults,12.65,15.53,18.28,5.96,17.81
Nunavut (15),"Total firearms; use of, discharge, pointing",22.14,21.74,39.61,77.49,65.29
Nunavut (15),Total robbery (18),56.94,71.44,42.65,35.77,17.81
Nunavut (15),Total forcible confinement or kidnapping (34),120.2,136.68,155.38,119.22,118.7
Nunavut (15),Total abduction,0,0,3.05,0,2.97
Nunavut (15),Extortion,3.16,0,0,2.98,5.94
Nunavut (15),Criminal harassment (36),66.43,77.66,82.26,74.51,175.09
Nunavut (15),Uttering threats,1239.96,1149.32,1404.5,1305.48,1552.07
Nunavut (15),Threatening or harassing phone calls,341.62,351.01,478.32,560.34,495.59
Nunavut (15),Total other violent violations,85.41,71.44,67.03,32.79,44.51
Nunavut (15),Total property crime violations,15762,16817.32,17018.55,16500.25,16580.11
Nunavut (15),Total breaking and entering,2071.87,1969.37,2041.25,1621.41,1845.86
Nunavut (15),"Total possession of stolen property (42,46)",69.59,114.93,103.59,80.47,92
Nunavut (15),"Total trafficking in stolen property (42,43,46)",0,0,0,0,0
Nunavut (15),Total theft of motor vehicle (46),544.06,602.62,621.52,444.1,465.92
Nunavut (15),"Total theft over $5,000 (non-motor vehicle)",31.63,55.91,51.79,47.69,47.48
Nunavut (15),"Total theft under $5,000 (non-motor vehicle)",1315.87,1208.34,1413.64,1230.96,1178.15
Nunavut (15),Fraud (30),262.54,158.42,164.52,131.14,172.12
Nunavut (15),Identity theft (30),0,0,0,2.98,2.97
Nunavut (15),Identity fraud (30),,,9.14,2.98,2.97
Nunavut (15),Total mischief,11434.81,12630.07,12521.71,12846.11,12686.59
Nunavut (15),Arson,31.63,77.66,91.4,92.4,86.06
Nunavut (15),"Altering, removing or destroying Vehicle Identification Number (VIN) (45)",0,0,0,0,0
Nunavut (15),Total other Criminal Code violations,9748.85,11527.35,12238.37,11957.91,12645.04
Nunavut (15),Counterfeiting (19),0,0,3.05,11.92,0
Nunavut (15),Total weapons violations,129.69,130.46,137.1,119.22,148.38
Nunavut (15),"Child pornography (27,50,52)",3.16,3.11,6.09,5.96,0
Nunavut (15),Total prostitution,3.16,0,0,2.98,2.97
Nunavut (15),Disturb the peace (21),7031.69,8781.41,9337.96,9051.89,9490.46
Nunavut (15),Total administration of justice violations,2267.98,2320.38,2467.78,2458.94,2581.83
Nunavut (15),Total other violations,313.15,291.99,286.38,307,421.4
Nunavut (15),Total Criminal Code traffic violations,1018.54,1130.68,813.45,700.43,1169.24
Nunavut (15),Total impaired driving (49),828.75,953.62,630.66,509.67,1006.02
Nunavut (15),"Impaired operation, causing death",0,6.21,0,0,0
Nunavut (15),"Impaired operation (drugs), causing death",,,0,0,0
Nunavut (15),"Impaired operation, causing bodily harm",3.16,12.43,3.05,17.88,8.9
Nunavut (15),"Impaired operation (drugs), causing bodily harm",,,0,0,0
Nunavut (15),"Impaired operation of motor vehicle, vessel or aircraft (51)",803.44,903.92,618.47,473.91,967.45
Nunavut (15),"Impaired operation (drugs) vehicle, vessel, aircraft",6.33,21.74,9.14,14.9,26.71
Nunavut (15),"Impaired operation, failure to provide breath sample",15.82,9.32,0,2.98,0
Nunavut (15),Failure to comply or refusal (drugs),,,0,0,0
Nunavut (15),"Impaired operation, failure to provide blood sample",0,0,0,0,2.97
Nunavut (15),Failure to provide blood sample (drugs),,,0,0,0
Nunavut (15),Total other Criminal Code traffic violations,189.79,177.06,182.8,190.75,163.22
Nunavut (15),"Dangerous operation, causing death",0,0,0,0,0
Nunavut (15),"Dangerous operation, causing bodily harm",9.49,3.11,9.14,14.9,11.87
Nunavut (15),"Dangerous operation of motor vehicle, vessel or aircraft",91.73,80.76,88.35,95.38,97.93
Nunavut (15),"Dangerous operation evading police, causing death",,,0,0,0
Nunavut (15),"Dangerous operation evading police, causing bodily harm",0,0,0,2.98,0
Nunavut (15),Dangerous operation of motor vehicle evading police,25.31,31.06,21.33,11.92,5.94
Nunavut (15),Total fail to stop or remain (46),31.63,27.96,27.42,32.79,11.87
Nunavut (15),Driving while prohibited,31.63,34.17,33.51,32.79,35.61
Nunavut (15),Other Criminal Code traffic violations,0,0,0,0,0
Nunavut (15),Causing death by criminal negligence while street racing,,,0,0,0
Nunavut (15),Causing bodily harm by criminal negligence while street racing,,,0,0,0
Nunavut (15),Dangerous operation causing death while street racing,,,0,0,0
Nunavut (15),Dangerous operation causing bodily harm while street racing,,,0,0,0
Nunavut (15),Dangerous operation of motor vehicle while street racing,,,3.05,0,0
Nunavut (15),Total Federal Statute violations,967.93,1012.64,1233.89,1251.83,1302.79
Nunavut (15),Total drug violations,771.81,841.8,1069.37,1144.53,1207.82
Nunavut (15),"Possession, cannabis",411.21,453.51,554.49,575.24,489.66
Nunavut (15),"Possession, cocaine",18.98,12.43,0,5.96,2.97
Nunavut (15),"Total, possession, other Controlled Drugs and Substances Act drugs",9.49,15.53,3.05,5.96,0
Nunavut (15),"Heroin, possession",,,0,0,0
Nunavut (15),"Other Controlled Drugs and Substances Act, possession",9.49,15.53,3.05,0,0
Nunavut (15),"Methamphetamines (crystal meth), possession",0,0,0,0,0
Nunavut (15),"Methylenedioxyamphetamine (ecstasy), possession",0,0,0,5.96,0
Nunavut (15),"Total cannabis, trafficking, production or distribution",287.85,344.8,481.37,518.61,658.81
Nunavut (15),"Cannabis, trafficking",284.68,341.69,481.37,515.63,641.01
Nunavut (15),"Cannabis, importation and exportation",0,3.11,0,0,0
Nunavut (15),"Cannabis, production",3.16,0,0,2.98,17.81
Nunavut (15),"Total cocaine, trafficking, production or distribution",28.47,3.11,15.23,2.98,14.84
Nunavut (15),"Cocaine, trafficking",28.47,3.11,15.23,2.98,14.84
Nunavut (15),"Cocaine, importation and exportation",,,0,0,0
Nunavut (15),"Cocaine, production",,,0,0,0
Nunavut (15),"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",15.82,12.43,15.23,35.77,41.55
Nunavut (15),"Heroin, trafficking",,,0,0,0
Nunavut (15),"Other Controlled Drugs and Substances Act, trafficking",15.82,12.43,12.19,32.79,32.64
Nunavut (15),"Methamphetamines (crystal meth), trafficking",0,0,0,2.98,2.97
Nunavut (15),"Methylenedioxyamphetamine (ecstasy), trafficking",0,0,3.05,0,5.94
Nunavut (15),"Heroin, importation and exportation",,,0,0,0
Nunavut (15),"Other Controlled Drugs and Substances Act, importation and exportation",0,0,0,0,0
Nunavut (15),"Methamphetamines (crystal meth), importation and exportation",,,0,0,0
Nunavut (15),"Methylenedioxyamphetamine (ecstasy), importation and exportation",,,0,0,0
Nunavut (15),"Heroin, production",,,0,0,0
Nunavut (15),"Other Controlled Drugs and Substances Act, production",,,0,0,0
Nunavut (15),"Methamphetamines (crystal meth), production",,,0,0,0
Nunavut (15),"Methylenedioxyamphetamine (ecstasy), production",,,0,0,0
Nunavut (15),"Precursor or equipment (crystal meth, ecstasy) (44)",0,0,0,0,0
Nunavut (15),Youth Criminal Justice Act,117.04,108.72,106.63,41.73,59.35
Nunavut (15),Total other Federal Statutes,79.08,62.13,57.89,65.57,35.61
Nunavut (15),Bankruptcy Act,0,0,0,0,0
Nunavut (15),Income Tax Act,0,0,0,0,0
Nunavut (15),Canada Shipping Act,0,3.11,0,0,2.97
Nunavut (15),Canada Health Act,0,0,0,0,0
Nunavut (15),Customs Act,0,0,0,2.98,0
Nunavut (15),Competition Act,0,0,0,0,0
Nunavut (15),Excise Act,0,0,6.09,0,2.97
Nunavut (15),Total Immigration and Refugee Protection Act (46),3.16,0,0,0,0
Nunavut (15),Firearms Act,18.98,6.21,18.28,11.92,17.81
Nunavut (15),National Defense Act,0,0,0,0,0
Nunavut (15),Other federal statutes,56.94,52.81,33.51,50.67,11.87
Footnotes:,,,,,,
1,"For the period from 1998 to 2008 Incident-based Uniform Crime Reporting Survey (UCR2) data are not available for all respondents. In order to report this level of detail for police services still reporting to the Aggregate Uniform Crime Reporting Survey (URC) over this time, a process of imputation was applied to derive counts for violations that do not exist on their own in the aggregate survey. For approximately 80% of the aggregate offence codes, there is a 1:1 mapping with a new incident-based violation code. For violations where this was not the case, such as the aggregate other Criminal Code category, it was necessary to estimate (impute) this figure using the distribution of other Criminal Code offences from existing Incident-based UCR2 respondents.",,,,,
2,"During the production of each year's crime statistics, data from the previous year are revised to reflect any updates or changes that have been received from the police services.",,,,,
3,"The methodology for calculating census metropolitan area (CMA) populations was modified in 2003. Starting in 1996, the populations for CMAs have been adjusted to reflect the actual policing boundaries within the CMA and do not reflect the official Statistics Canada population for these CMAs. CMA data are included within province-level data.",,,,,
54,"Police reported statistics may be affected by differences in the way police services deal with minor offences. In some instances, police or municipalities might chose to deal with some minor offences using municipal by-laws or provincial provisions rather than Criminal Code provisions. Counts are based on the most serious violation in the incident.",,,,,
50,"In 2012, it was discovered that the Montreal Police Service had been incorrectly applying the agreed upon definition for reporting child pornography incidents to the Uniform Crime Reporting Survey (UCR). As such, the number of violations has been revised for the years 2008 to 2011.",,,,,
16,"The violent crime category has been expanded under the Incident-based Uniform Crime Reporting Survey (UCR2) to include a number of offences not previously included in the violent crime category, including uttering threats, criminal harassment and forcible confinement. Therefore, total violent crime counts in this table will not match total violent crime counts from the Aggregate Uniform Crime Reporting Survey (URC).",,,,,
17,"Homicide data are extracted from the homicide survey database. For further information, refer to: http://www.statcan.gc.ca/imdb-bmdi/3315-eng.htm.",,,,,
24,"In general, the Uniform Crime Reporting Survey (UCR) counts any adult and youth charged for the year in which the charge was laid. The homicide totals, which come from The Homicide Survey, count any adult or youth charged with a homicide that occurred in the reference year, regardless of when the charge was laid.",,,,,
26,"Sexual violations against children is a new crime category with only partial data available prior to 2008. As a result, numbers and rates should not be directly compared to data from previous years.",,,,,
25,"Any reference to Police Officer has been changed to read Peace Officer, as per the Canadian Criminal Code. Peace officer refers to any person employed for the preservation and maintenance of the public peace or for the service or execution of civil process. Examples of a Peace Officer are a mayor, warden, police officer, or bailiff constable. Please see the Canadian Criminal Code for a complete list of designates.",,,,,
35,"In 2009, legislation was introduced to create the offences of assault with a weapon or causing bodily harm to a peace officer (level 2) and aggravated assault to a peace officer (level 3). The introduction of these new codes into the UCR Survey created a system anomaly which resulted in some non-peace officer assaults being coded as peace officer assaults in 2010. Comparisons to 2010 should be made with caution.",,,,,
18,Robbery counts have been revised for the years 1998 to 2007. This change has resulted in an increase of approximately 12% annually in the number of reported robbery incidents for this time period. Use caution when comparing these data with prior years.,,,,,
34,"Historically police services have reported kidnapping and forcible confinement under a single combined violation code. In 2008 the Incident-based Uniform Crime Reporting Survey (UCR2) introduced separate codes for these violations which police services utilize as their Records Management Systems are updated to allow them. As a result, comparison with previous years should be done with caution.",,,,,
36,"For the period from 1998 to 2007 Incident-based Uniform Crime Reporting Survey (UCR2) data on criminal harassment are not available for all respondents. In order to report this violation for police services still reporting to the aggregate Uniform Crime Reporting Survey (UCR) over this time, a process of imputation was applied to derive counts using the distribution of 'other' Criminal Code offences from existing Incident-based Uniform Crime Reporting Survey (UCR2) respondents.",,,,,
