,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
Prince Edward Island (51),Failure to comply or refusal (drugs),,,0,0,0
Prince Edward Island (51),"Impaired operation, failure to provide blood sample",0,1.42,0.7,0,0
Prince Edward Island (51),Failure to provide blood sample (drugs),,,0,0,0
Prince Edward Island (51),Total other Criminal Code traffic violations,121.82,124.07,139.78,117.37,113.62
Prince Edward Island (51),"Dangerous operation, causing death",0.72,0,0.7,0,0
Prince Edward Island (51),"Dangerous operation, causing bodily harm",2.87,1.42,3.49,2.06,1.37
Prince Edward Island (51),"Dangerous operation of motor vehicle, vessel or aircraft",23.65,10.63,13.28,21.28,19.85
Prince Edward Island (51),"Dangerous operation evading police, causing death",0,0,0,0,0
Prince Edward Island (51),"Dangerous operation evading police, causing bodily harm",0,0,0,0,0
Prince Edward Island (51),Dangerous operation of motor vehicle evading police,5.02,8.51,10.48,8.24,10.95
Prince Edward Island (51),Total fail to stop or remain (46),45.86,61.68,56.61,39.12,34.22
Prince Edward Island (51),Driving while prohibited,43.71,41.83,55.22,45.3,46.54
Prince Edward Island (51),Other Criminal Code traffic violations,0,0,0,0,0
Prince Edward Island (51),Causing death by criminal negligence while street racing,,,0,0,0
Prince Edward Island (51),Causing bodily harm by criminal negligence while street racing,,,0,0,0
Prince Edward Island (51),Dangerous operation causing death while street racing,,,0,0,0
Prince Edward Island (51),Dangerous operation causing bodily harm while street racing,,,0,0,0
Prince Edward Island (51),Dangerous operation of motor vehicle while street racing,,,0,1.37,0.68
Prince Edward Island (51),Total Federal Statute violations,184.88,207.72,227.85,318.47,338.11
Prince Edward Island (51),Total drug violations,144.04,152.42,178.23,229.25,240.92
Prince Edward Island (51),"Possession, cannabis",48.73,52.46,61.51,89.23,84.87
Prince Edward Island (51),"Possession, cocaine",2.87,4.96,4.19,2.06,4.11
Prince Edward Island (51),"Total, possession, other Controlled Drugs and Substances Act drugs",15.05,22.69,13.28,26.77,23.27
Prince Edward Island (51),"Heroin, possession",0,0,0,1.37,0
Prince Edward Island (51),"Other Controlled Drugs and Substances Act, possession",15.05,21.98,11.88,24.71,23.27
Prince Edward Island (51),"Methamphetamines (crystal meth), possession",0,0,0,0.69,0
Prince Edward Island (51),"Methylenedioxyamphetamine (ecstasy), possession",0,0.71,1.4,0,0
Prince Edward Island (51),"Total cannabis, trafficking, production or distribution",39.41,34.74,52.42,32.95,42.44
Prince Edward Island (51),"Cannabis, trafficking",26.51,25.52,37.74,16.47,28.06
Prince Edward Island (51),"Cannabis, importation and exportation",0,0,0,0,0
Prince Edward Island (51),"Cannabis, production",12.9,9.22,14.68,16.47,14.37
Prince Edward Island (51),"Total cocaine, trafficking, production or distribution",17.2,16.31,18.87,17.85,23.27
Prince Edward Island (51),"Cocaine, trafficking",17.2,14.89,18.87,17.85,23.27
Prince Edward Island (51),"Cocaine, importation and exportation",0,1.42,0,0,0
Prince Edward Island (51),"Cocaine, production",,,0,0,0
Prince Edward Island (51),"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution",20.78,21.27,27.96,60.4,62.97
